molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL400569,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,140.0,active
CHEMBL400749,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,1000.0,active
CHEMBL251739,CCN(CC)C(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,1230.0,intermediate
CHEMBL249502,CC(C)NC(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,410.0,active
CHEMBL249500,c1ccc2c(-c3cnc4[nH]nc(-c5nc6cc(N7CCOCC7)ccc6[nH]5)c4c3)cncc2c1,1000.0,active
CHEMBL249304,CN1CCN(c2ccc3[nH]c(-c4n[nH]c5ncc(-c6cncc7ccccc67)cc45)nc3c2)CC1,1000.0,active
CHEMBL249303,CCN(CC)Cc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,1000.0,active
CHEMBL400859,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cccnc5)cc34)nc12,1100.0,intermediate
CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1385.0,intermediate
CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,10000.0,inactive
CHEMBL524266,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,4000.0,intermediate
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,1.0,active
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.46,active
CHEMBL461162,COc1cc2[nH]c3c(=O)[nH]cc(-c4ccc(O)cc4)c3c2cc1OC,110.0,active
CHEMBL461340,COc1cc2c3c(-c4ccc(O)cc4)c[nH]c(=O)c3n(C)c2cc1OC,60.0,active
CHEMBL512392,Cn1c2ccccc2c2c(-c3ccc(O)cc3)c[nH]c(=O)c21,480.0,active
CHEMBL461341,COc1ccc2c(c1)c1c(-c3ccc(O)cc3)c[nH]c(=O)c1n2C,600.0,active
CHEMBL512393,COc1cc2c3ccn(Cc4ccccc4)c(=O)c3n(C)c2cc1OC,600.0,active
CHEMBL501371,COc1cc2c3c(C)c[nH]c(=O)c3n(C)c2cc1OC,600.0,active
CHEMBL515871,COc1cc2c3c(-c4ccccc4)c[nH]c(=O)c3n(C)c2cc1OC,250.0,active
CHEMBL473101,COc1cc2c3c(-c4cccc(O)c4)c[nH]c(=O)c3n(C)c2cc1OC,90.0,active
CHEMBL458440,Cl.N[C@@H](CCCCN/C=C1\C(=O)Nc2ccccc21)C(=O)O,10000.0,inactive
CHEMBL458441,Cl.N[C@@H](CCCCN/C=C1\C(=O)Nc2ccc(Br)cc21)C(=O)O,10000.0,inactive
CHEMBL503236,Cl.N[C@@H](CCCN/C=C1\C(=O)Nc2ccc(Br)cc21)C(=O)O,10000.0,inactive
CHEMBL458352,Cl.N[C@@H](CCCN/C=C1\C(=O)Nc2ccccc21)C(=O)O,10000.0,inactive
CHEMBL564829,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,1933.0,intermediate
CHEMBL571040,C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCOC,700.0,active
CHEMBL569880,C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCCOC,100.0,active
CHEMBL565612,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,10000.0,inactive
CHEMBL86943,CCOC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,760.0,active
CHEMBL592651,O=C1Nc2cccc(Br)c2/C1=C/c1cc2c([nH]1)CCCC2,1700.0,intermediate
CHEMBL597366,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)c2ccccc12,45000.0,inactive
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1300.0,intermediate
CHEMBL258805,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,1600.0,intermediate
CHEMBL2062155,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(Cl)cc32)[nH]1,1000.0,active
CHEMBL605003,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,770.0,active
CHEMBL315546,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccccc43)cc2)CC1,1100.0,intermediate
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,170.0,active
CHEMBL86755,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,460.0,active
CHEMBL103307,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1,2300.0,intermediate
CHEMBL328710,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,100000.0,inactive
CHEMBL89040,Cc1cccc2c1/C(=C/c1ccc(N3CCN(C=O)CC3)cc1)C(=O)N2,3700.0,intermediate
CHEMBL597960,Cc1cccc2c1/C(=C/c1ccc(N(C)C)c3ccccc13)C(=O)N2,210.0,active
CHEMBL599192,Cc1cccc2c1/C(=C/c1ccc(-c3ccccc3)cc1)C(=O)N2,23000.0,inactive
CHEMBL90277,Cc1cccc2c1/C(=C/c1ccc(N3CCOCC3)cc1)C(=O)N2,100000.0,inactive
CHEMBL598991,Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)cc32)[nH]1,5900.0,intermediate
CHEMBL597177,Nc1ccc2c(c1)/C(=C\c1ccc(-c3ccoc3)o1)C(=O)N2,34000.0,inactive
