,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
393,CHEMBL3774697,COc1cc2ncnc(Nc3c(Cl)ccc(O)c3C)c2cc1OC,active,345.7860000000002,4.058020000000003,2.0,6.0,6.920818753952375
394,CHEMBL3775940,COc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,active,329.33100000000013,3.5437200000000013,2.0,6.0,7.356547323513812
395,CHEMBL3774913,COc1cc2ncnc(Nc3cc(F)cc(O)c3C)c2cc1OC,active,329.33100000000013,3.5437200000000013,2.0,6.0,7.6777807052660805
396,CHEMBL3775511,COc1cc2ncnc(Nc3c(Cl)ccc(O)c3F)c2cc1OC,active,349.74900000000014,3.888700000000002,2.0,6.0,8.318758762624412
397,CHEMBL3775557,COc1cc2ncnc(Nc3c(F)ccc(O)c3F)c2cc1OC,active,333.2940000000001,3.3744000000000014,2.0,6.0,8.769551078621726
398,CHEMBL3775336,COc1cc2ncnc(Nc3ccc(F)c(O)c3F)c2cc1OC,active,333.2940000000001,3.3744000000000014,2.0,6.0,8.698970004336019
399,CHEMBL3775415,COc1cc2ncnc(Nc3cc(O)c(C)cc3Cl)c2cc1OC,active,345.7860000000001,4.058020000000003,2.0,6.0,7.886056647693163
400,CHEMBL440727,COc1cc2ncnc(Nc3cc(O)c(C)cc3F)c2cc1OC,active,329.33100000000013,3.5437200000000013,2.0,6.0,9.1249387366083
401,CHEMBL3775190,COc1cc2ncnc(Nc3cc(O)c(Cl)cc3Cl)c2cc1OC,active,366.2040000000001,4.403000000000001,2.0,6.0,8.301029995663981
402,CHEMBL3775169,COc1cc2ncnc(Nc3cc(O)c(F)cc3F)c2cc1OC,active,333.2940000000001,3.3744000000000014,2.0,6.0,9.387216143280265
403,CHEMBL3774951,COc1cc2ncnc(Nc3cc(O)ccc3C)c2cc1OC,active,311.34100000000007,3.4046200000000013,2.0,6.0,8.075720713938118
404,CHEMBL3774489,COc1cc2ncnc(Nc3cc(O)ccc3Cl)c2cc1OC,active,331.7590000000001,3.749600000000002,2.0,6.0,8.585026652029182
405,CHEMBL3774904,COc1cc2ncnc(Nc3cc(O)ccc3F)c2cc1OC,active,315.3040000000001,3.2353000000000014,2.0,6.0,8.958607314841775
406,CHEMBL3775086,COc1cc2ncnc(Nc3cc(C)cc(O)c3)c2cc1OC,active,311.34100000000007,3.4046200000000013,2.0,6.0,7.5376020021010435
407,CHEMBL3775934,COc1cc2ncnc(Nc3cc(O)cc(F)c3)c2cc1OC,active,315.3040000000001,3.2353000000000005,2.0,6.0,8.585026652029182
408,CHEMBL3774563,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1O,active,327.3400000000001,3.1048000000000022,2.0,7.0,7.958607314841775
409,CHEMBL235851,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OC,active,331.7590000000001,3.749600000000002,2.0,6.0,8.0
410,CHEMBL478442,COc1cc2ncnc(Nc3ccc(C)c(O)c3)c2cc1OC,active,311.34100000000007,3.4046200000000013,2.0,6.0,8.337242168318426
411,CHEMBL3775879,COc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OC,active,315.3040000000001,3.2353000000000005,2.0,6.0,8.494850021680094
412,CHEMBL3774643,COc1cc2ncnc(Nc3cccc(O)c3C#N)c2cc1OC,inactive,322.3240000000001,2.967880000000001,2.0,7.0,5.0
413,CHEMBL3774720,COc1cc2ncnc(Nc3cccc(O)c3C(F)(F)F)c2cc1OC,intermediate,365.3110000000001,4.115000000000002,2.0,6.0,5.259637310505756
414,CHEMBL3775240,CCc1c(O)cccc1Nc1ncnc2cc(OC)c(OC)cc12,intermediate,325.36800000000005,3.6586000000000016,2.0,6.0,5.42021640338319
415,CHEMBL3775660,COc1cc2ncnc(Nc3cccc(O)c3OC)c2cc1OC,intermediate,327.34000000000015,3.104800000000001,2.0,7.0,5.958607314841775
416,CHEMBL3775903,COc1cc2ncnc(Nc3cccc(O)c3F)c2cc1OC,active,315.3040000000001,3.2353000000000014,2.0,6.0,8.0
417,CHEMBL3775569,COc1cc2ncnc(Nc3cccc(O)c3C)c2cc1OC,active,311.34100000000007,3.404620000000002,2.0,6.0,6.721246399047171
418,CHEMBL3775840,COc1cc2ncnc(Nc3cccc(O)c3Cl)c2cc1OC,active,331.7590000000001,3.749600000000002,2.0,6.0,7.721246399047171
419,CHEMBL3775164,COc1cc2ncnc(Nc3cccc(O)c3Br)c2cc1OC,active,376.2100000000001,3.8587000000000025,2.0,6.0,7.638272163982407
420,CHEMBL3774580,COc1cc2ncnc(Nc3cccc(O)c3O)c2cc1OC,active,313.3130000000001,2.801800000000002,3.0,7.0,8.4089353929735
421,CHEMBL169473,COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,intermediate,311.34100000000007,3.3992000000000013,1.0,6.0,5.920818753952375
422,CHEMBL3220401,COc1cc2ncnc(Nc3cccc(N)c3)c2cc1OC,active,296.3300000000001,2.972800000000001,2.0,6.0,6.229147988357855
423,CHEMBL405130,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,active,297.3140000000001,3.0962000000000014,2.0,6.0,6.142667503568731
424,CHEMBL127907,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,active,297.3140000000001,3.0962000000000014,2.0,6.0,8.346787486224656
425,CHEMBL3774450,COc1cc2ncnc(Nc3ccccc3O)c2cc1OC,intermediate,297.3140000000001,3.0962000000000014,2.0,6.0,5.795880017344075
426,CHEMBL1277620,COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1OC,active,378.20100000000014,4.292200000000003,1.0,5.0,7.0
427,CHEMBL1614712,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,intermediate,439.5630000000003,4.916300000000004,1.0,6.0,5.481486060122113
428,CHEMBL3787614,Nc1ncnc2c1c(-c1cccc(OC[C@@H]3CCCO3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,intermediate,433.55600000000027,3.895100000000003,1.0,7.0,5.356547323513812
429,CHEMBL3787112,Nc1ncnc2c1c(-c1cccc(O)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,active,349.4380000000002,3.0429000000000013,2.0,6.0,8.096910013008056
430,CHEMBL3785500,Nc1ncnc2c1c(-c1cccc(OCC34CCC(CC3)O4)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,inactive,459.59400000000034,4.427700000000004,1.0,7.0,5.0
431,CHEMBL3786167,CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4cccc(OC[C@@H]5CCCO5)c4F)c4c(N)ncnc43)C2)CC1,intermediate,508.5980000000005,3.245000000000001,1.0,8.0,5.031517051446065
432,CHEMBL3785951,CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4cc(OC[C@@H]5CCCO5)ccc4F)c4c(N)ncnc43)C2)CC1,intermediate,508.5980000000004,3.245000000000001,1.0,8.0,5.221848749616356
433,CHEMBL3786567,CC1(C)CC[C@@H](COc2cccc(-c3cn([C@H]4C[C@@H](CN5CCC5)C4)c4ncnc(N)c34)c2)O1,active,461.61000000000035,4.673700000000004,1.0,7.0,6.013228265733755
434,CHEMBL3798631,CC(NC(=O)c1ccc2[nH]nc(-c3ccncc3)c2c1)c1cccc(Cl)c1,active,376.8470000000001,4.769300000000003,2.0,3.0,6.0
435,CHEMBL3798257,Cc1cc(-c2n[nH]c3ccc(C(=O)NC(C)c4c(Cl)cncc4Cl)cc23)ccn1,active,426.30700000000013,5.126120000000003,2.0,4.0,6.0
436,CHEMBL3799221,CCOC(Cn1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21)OCC,active,367.4130000000002,2.3509,2.0,8.0,6.223298816011589
437,CHEMBL3800481,CCOC(Cn1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21)OCC,inactive,383.4120000000002,2.1980000000000004,2.0,10.0,4.0
438,CHEMBL3797590,Nc1nc2cc(-c3nn(CC4OCCO4)c4ncnc(N)c34)ccc2o1,inactive,353.3420000000001,1.1717999999999993,2.0,10.0,4.0
439,CHEMBL3800138,COC(Cn1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21)OC,inactive,355.35800000000006,1.4178000000000002,2.0,10.0,4.0
440,CHEMBL3797684,COCCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,active,387.4110000000002,3.950420000000003,2.0,7.0,7.42021640338319
441,CHEMBL3797413,COCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,active,373.3840000000002,3.5603200000000017,2.0,7.0,7.853871964321762
442,CHEMBL3800155,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC1CCCO1,active,399.42200000000025,4.092920000000003,2.0,7.0,7.7447274948966935
443,CHEMBL3799843,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC1CCN(C)CC1,active,426.4920000000003,4.255720000000004,2.0,7.0,7.107905397309519
444,CHEMBL3798119,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCc1noc(C)n1,active,411.3930000000002,3.8055400000000024,2.0,9.0,7.619788758288394
445,CHEMBL3797991,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCc1nccn1C,active,409.42100000000016,3.847620000000002,2.0,8.0,6.958607314841775
446,CHEMBL3800346,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCc1cccnc1,active,406.41700000000014,4.509120000000003,2.0,7.0,7.920818753952375
447,CHEMBL3798883,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCC1C(F)(F)F,active,494.4890000000003,5.330720000000004,2.0,7.0,7.2076083105017466
448,CHEMBL3798349,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCC1C(F)(F)F,active,480.4620000000003,4.940620000000004,2.0,7.0,6.823908740944319
449,CHEMBL3800250,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCC(F)C1,active,430.45500000000027,3.957720000000003,2.0,7.0,7.522878745280337
450,CHEMBL3798584,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCS(=O)(=O)CC1,active,490.5570000000004,3.034420000000001,2.0,9.0,8.045757490560675
451,CHEMBL3797561,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCS(=O)(=O)CC1,active,476.53000000000037,2.6443200000000004,2.0,9.0,7.853871964321762
452,CHEMBL3799933,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCOCC1,active,442.4910000000004,3.6362200000000025,2.0,8.0,7.958607314841775
453,CHEMBL3797688,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCOCC1,active,428.46400000000034,3.2461200000000012,2.0,8.0,7.853871964321762
454,CHEMBL3800348,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCN(C)CC1,active,455.5340000000004,3.551420000000002,2.0,8.0,7.5376020021010435
455,CHEMBL3798442,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCN(C)CC1,active,441.50700000000035,3.1613200000000017,2.0,8.0,7.356547323513812
456,CHEMBL3799971,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCNCC1,active,455.5340000000004,3.5993200000000014,3.0,8.0,7.958607314841775
457,CHEMBL3799969,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCNCC1,active,441.50700000000035,3.209220000000001,3.0,8.0,7.187086643357144
458,CHEMBL3797261,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCNCC1,active,441.50700000000035,3.209220000000001,3.0,8.0,8.301029995663981
459,CHEMBL3798033,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCNCC1,active,427.4800000000003,2.8191200000000007,3.0,8.0,7.769551078621726
460,CHEMBL3799244,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCCC1,active,440.5190000000004,4.789920000000004,2.0,7.0,7.823908740944319
461,CHEMBL3799867,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCCC1,active,426.49200000000036,4.399820000000004,2.0,7.0,6.920818753952375
462,CHEMBL3800542,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCC1,active,426.49200000000036,4.399820000000004,2.0,7.0,7.823908740944319
